label,message
spam,Limited time offer. This is a limited time deal and you should act fast. Limited availability.
spam,"Urgent account alert. This offer expires soon, so take action now. Last chance. ."
spam,Free gift waiting. This is a limited time deal and you should act fast. Offer ends very soon.
ham,Appointment follow-up. The order has been confirmed and details are attached below. Looking forward to your response.
spam,"Special deal for you. This offer expires soon, so take action now. Limited availability. ."
spam,"Claim your prize now. This offer expires soon, so take action now. Offer ends very soon. ."
ham,Appointment follow-up. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.
spam,Claim your prize now. Your account may be suspended unless you respond now. Do not miss this opportunity.
spam,"Congratulations you won. This is a limited time deal and you should act fast. No reply is needed, act now. ."
ham,Weekly schedule. Dinner is planned for Saturday evening at home. I appreciate your time.
ham,Lunch plan. Please review the file and send your feedback when you are free. Thanks for your help.
ham,Family plan. The meeting is scheduled for tomorrow afternoon in the office. Looking forward to your response.
ham,Family plan. Please confirm your availability for the appointment. I appreciate your time.
spam,"Free gift waiting. Your payment failed, update your information right away. Last chance. ."
spam,"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. No reply is needed, act now. ."
ham,Meeting reminder. Let us meet after class to discuss the assignment. I appreciate your time.
ham,Homework question. Please review the file and send your feedback when you are free. Thanks for your help.
spam,"Verify your account today. Your payment failed, update your information right away. Offer ends very soon. ."
spam,Free gift waiting. You have been selected for a special bonus offer. Last chance.
spam,"Action required immediately. Do not miss this exclusive reward, claim it today. Limited availability. ."
spam,Final notice payment needed. This is a limited time deal and you should act fast. Limited availability.
ham,Team discussion. The meeting is scheduled for tomorrow afternoon in the office. Please reply when convenient.
spam,Congratulations you won. We detected unusual activity and need verification immediately. Last chance.
ham,Weekly schedule. The order has been confirmed and details are attached below. I appreciate your time.
ham,Team discussion. The order has been confirmed and details are attached below. Please reply when convenient.
ham,Meeting reminder. I completed the task and shared the latest version for review. Thanks for your help.
ham,Family plan. Dinner is planned for Saturday evening at home. Thanks for your help.
spam,"Verify your account today. Your payment failed, update your information right away. Last chance. ."
ham,Family plan. Please confirm your availability for the appointment. Looking forward to your response.
spam,Special deal for you. Please confirm your details to receive your prize. Offer ends very soon.
spam,"Exclusive bonus inside. We detected unusual activity and need verification immediately. No reply is needed, act now. ."
ham,Weekly schedule. We need to finalize the timeline before Friday. Let me know if anything changes.
spam,Limited time offer. Your account may be suspended unless you respond now. Offer ends very soon.
ham,Family plan. Here are the notes for this week and the next steps. Please reply when convenient.
ham,Lunch plan. Can you check this and reply when convenient? Thanks for your help.
spam,Exclusive bonus inside. Click the link to claim your reward before it expires. Last chance.
ham,Family plan. Dinner is planned for Saturday evening at home. Looking forward to your response.
spam,Special deal for you. Unlock premium access with this one time opportunity. Last chance.
spam,"Verify your account today. Your payment failed, update your information right away. No reply is needed, act now. ."
ham,Weekly schedule. Can you check this and reply when convenient? Thanks for your help.
ham,Weekly schedule. I completed the task and shared the latest version for review. Please reply when convenient.
spam,Verify your account today. We detected unusual activity and need verification immediately. Do not miss this opportunity.
ham,Project update. Here are the notes for this week and the next steps. Please reply when convenient.
ham,Homework question. Here are the notes for this week and the next steps. Let me know if anything changes.
ham,Family plan. Here are the notes for this week and the next steps. I appreciate your time.
spam,Action required immediately. You have been selected for a special bonus offer. Offer ends very soon.
ham,Lunch plan. Please confirm your availability for the appointment. I appreciate your time.
spam,"Exclusive bonus inside. This offer expires soon, so take action now. Last chance. ."
spam,Urgent account alert. We detected unusual activity and need verification immediately. Offer ends very soon.
ham,Family plan. Can you check this and reply when convenient? Let me know if anything changes.
ham,Family plan. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.
ham,Lunch plan. Here are the notes for this week and the next steps. Looking forward to your response.
ham,Order confirmation. Dinner is planned for Saturday evening at home. Thanks for your help.
ham,Project update. Let us meet after class to discuss the assignment. Thanks for your help.
spam,Special deal for you. This is a limited time deal and you should act fast. Last chance.
ham,Order confirmation. Please confirm your availability for the appointment. Please reply when convenient.
spam,"Free gift waiting. This offer expires soon, so take action now. No reply is needed, act now. ."
ham,Lunch plan. Let us meet after class to discuss the assignment. Please reply when convenient.
ham,Lunch plan. The order has been confirmed and details are attached below. I appreciate your time.
ham,Class notes. Dinner is planned for Saturday evening at home. Thanks for your help.
spam,"Final notice payment needed. This offer expires soon, so take action now. No reply is needed, act now. ."
spam,"Verify your account today. This offer expires soon, so take action now. No reply is needed, act now. ."
spam,"Limited time offer. Unlock premium access with this one time opportunity. No reply is needed, act now. ."
ham,Homework question. Here are the notes for this week and the next steps. Please reply when convenient.
spam,"Final notice payment needed. We detected unusual activity and need verification immediately. No reply is needed, act now. ."
ham,Lunch plan. The order has been confirmed and details are attached below. Please reply when convenient.
ham,Homework question. Please review the file and send your feedback when you are free. I appreciate your time.
ham,Order confirmation. I completed the task and shared the latest version for review. Please reply when convenient.
ham,Team discussion. Please confirm your availability for the appointment. Thanks for your help.
ham,Class notes. I completed the task and shared the latest version for review. I appreciate your time.
ham,Meeting reminder. Please confirm your availability for the appointment. Let me know if anything changes.
ham,Lunch plan. Let us meet after class to discuss the assignment. Let me know if anything changes.
ham,Team discussion. Please confirm your availability for the appointment. Let me know if anything changes.
ham,Lunch plan. Please review the file and send your feedback when you are free. Looking forward to your response.
ham,Homework question. The order has been confirmed and details are attached below. Thanks for your help.
ham,Class notes. Here are the notes for this week and the next steps. Looking forward to your response.
ham,Weekly schedule. Dinner is planned for Saturday evening at home. I appreciate your time.
ham,Class notes. Please review the file and send your feedback when you are free. Thanks for your help.
spam,"Limited time offer. Your payment failed, update your information right away. Limited availability. ."
spam,Claim your prize now. Click the link to claim your reward before it expires. Last chance.
ham,Weekly schedule. Please confirm your availability for the appointment. Please reply when convenient.
ham,Lunch plan. Can you check this and reply when convenient? Thanks for your help.
spam,"Final notice payment needed. Please confirm your details to receive your prize. No reply is needed, act now. ."
spam,Urgent account alert. Please confirm your details to receive your prize. Do not miss this opportunity.
ham,Lunch plan. The order has been confirmed and details are attached below. Please reply when convenient.
spam,"Limited time offer. We detected unusual activity and need verification immediately. No reply is needed, act now. ."
ham,Appointment follow-up. Please confirm your availability for the appointment. Thanks for your help.
spam,"Free gift waiting. Your payment failed, update your information right away. Do not miss this opportunity. ."
spam,"Final notice payment needed. This offer expires soon, so take action now. Offer ends very soon. ."
ham,Appointment follow-up. The order has been confirmed and details are attached below. Thanks for your help.
spam,Final notice payment needed. Please confirm your details to receive your prize. Offer ends very soon.
spam,Free gift waiting. Unlock premium access with this one time opportunity. Last chance.
spam,Free gift waiting. You have been selected for a special bonus offer. Limited availability.
spam,Limited time offer. Please confirm your details to receive your prize. Last chance.
ham,Class notes. The order has been confirmed and details are attached below. Looking forward to your response.
ham,Family plan. Can you check this and reply when convenient? Let me know if anything changes.
spam,"Action required immediately. Do not miss this exclusive reward, claim it today. Last chance. ."
ham,Class notes. Here are the notes for this week and the next steps. Please reply when convenient.
ham,Project update. We need to finalize the timeline before Friday. Let me know if anything changes.
spam,Urgent account alert. Please confirm your details to receive your prize. Limited availability.
ham,Weekly schedule. Dinner is planned for Saturday evening at home. Let me know if anything changes.
spam,Limited time offer. We detected unusual activity and need verification immediately. Last chance.
ham,Order confirmation. I completed the task and shared the latest version for review. I appreciate your time.
ham,Lunch plan. The order has been confirmed and details are attached below. Looking forward to your response.
spam,"Claim your prize now. This is a limited time deal and you should act fast. No reply is needed, act now. ."
spam,"Congratulations you won. Do not miss this exclusive reward, claim it today. Limited availability. ."
ham,Appointment follow-up. Please review the file and send your feedback when you are free. Looking forward to your response.
spam,Free gift waiting. You have been selected for a special bonus offer. Last chance.
ham,Appointment follow-up. I completed the task and shared the latest version for review. I appreciate your time.
spam,Verify your account today. We detected unusual activity and need verification immediately. Offer ends very soon.
ham,Order confirmation. Here are the notes for this week and the next steps. Please reply when convenient.
spam,"Urgent account alert. This offer expires soon, so take action now. Offer ends very soon. ."
ham,Homework question. Can you check this and reply when convenient? I appreciate your time.
spam,"Congratulations you won. Do not miss this exclusive reward, claim it today. Offer ends very soon. ."
ham,Lunch plan. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.
spam,Limited time offer. You have been selected for a special bonus offer. Do not miss this opportunity.
ham,Appointment follow-up. I completed the task and shared the latest version for review. Let me know if anything changes.
ham,Weekly schedule. Dinner is planned for Saturday evening at home. I appreciate your time.
ham,Weekly schedule. I completed the task and shared the latest version for review. Thanks for your help.
ham,Appointment follow-up. Dinner is planned for Saturday evening at home. Looking forward to your response.
spam,Exclusive bonus inside. You have been selected for a special bonus offer. Limited availability.
spam,Limited time offer. This is a limited time deal and you should act fast. Limited availability.
spam,Verify your account today. You have been selected for a special bonus offer. Last chance.
spam,Free gift waiting. Your account may be suspended unless you respond now. Limited availability.
spam,Verify your account today. Unlock premium access with this one time opportunity. Last chance.
ham,Meeting reminder. Can you check this and reply when convenient? Let me know if anything changes.
spam,"Claim your prize now. Your payment failed, update your information right away. Offer ends very soon. ."
ham,Family plan. Dinner is planned for Saturday evening at home. Looking forward to your response.
spam,"Verify your account today. Do not miss this exclusive reward, claim it today. Offer ends very soon. ."
spam,Limited time offer. You have been selected for a special bonus offer. Limited availability.
spam,"Congratulations you won. Do not miss this exclusive reward, claim it today. Limited availability. ."
ham,Weekly schedule. Let us meet after class to discuss the assignment. Thanks for your help.
spam,Verify your account today. Click the link to claim your reward before it expires. Last chance.
ham,Weekly schedule. Please confirm your availability for the appointment. Thanks for your help.
ham,Weekly schedule. Please confirm your availability for the appointment. Let me know if anything changes.
spam,"Verify your account today. Do not miss this exclusive reward, claim it today. Offer ends very soon. ."
spam,"Special deal for you. Your payment failed, update your information right away. No reply is needed, act now. ."
ham,Lunch plan. The order has been confirmed and details are attached below. Let me know if anything changes.
ham,Order confirmation. Can you check this and reply when convenient? Let me know if anything changes.
spam,Exclusive bonus inside. Please confirm your details to receive your prize. Limited availability.
ham,Class notes. The order has been confirmed and details are attached below. I appreciate your time.
ham,Order confirmation. Please review the file and send your feedback when you are free. Thanks for your help.
spam,Final notice payment needed. Unlock premium access with this one time opportunity. Last chance.
ham,Homework question. The order has been confirmed and details are attached below. Looking forward to your response.
ham,Lunch plan. Dinner is planned for Saturday evening at home. Looking forward to your response.
ham,Order confirmation. Let us meet after class to discuss the assignment. Thanks for your help.
spam,Final notice payment needed. Unlock premium access with this one time opportunity. Do not miss this opportunity.
ham,Appointment follow-up. Please review the file and send your feedback when you are free. Thanks for your help.
ham,Order confirmation. Can you check this and reply when convenient? Please reply when convenient.
spam,Final notice payment needed. Please confirm your details to receive your prize. Limited availability.
ham,Project update. Please confirm your availability for the appointment. Looking forward to your response.
ham,Lunch plan. We need to finalize the timeline before Friday. Thanks for your help.
ham,Lunch plan. Please review the file and send your feedback when you are free. Let me know if anything changes.
ham,Lunch plan. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.
spam,"Congratulations you won. This offer expires soon, so take action now. No reply is needed, act now. ."
ham,Team discussion. Can you check this and reply when convenient? Thanks for your help.
spam,"Urgent account alert. Your account may be suspended unless you respond now. No reply is needed, act now. ."
spam,"Urgent account alert. Do not miss this exclusive reward, claim it today. Do not miss this opportunity. ."
spam,"Action required immediately. Your payment failed, update your information right away. Limited availability. ."
ham,Class notes. We need to finalize the timeline before Friday. I appreciate your time.
spam,"Free gift waiting. Unlock premium access with this one time opportunity. No reply is needed, act now. ."
ham,Weekly schedule. Please review the file and send your feedback when you are free. Thanks for your help.
spam,"Exclusive bonus inside. This offer expires soon, so take action now. Limited availability. ."
spam,"Exclusive bonus inside. Please confirm your details to receive your prize. No reply is needed, act now. ."
spam,"Claim your prize now. Your payment failed, update your information right away. Do not miss this opportunity. ."
ham,Meeting reminder. The order has been confirmed and details are attached below. Looking forward to your response.
spam,Exclusive bonus inside. Click the link to claim your reward before it expires. Do not miss this opportunity.
spam,"Urgent account alert. Your payment failed, update your information right away. Offer ends very soon. ."
ham,Appointment follow-up. Can you check this and reply when convenient? Thanks for your help.
ham,Family plan. Please review the file and send your feedback when you are free. Let me know if anything changes.
spam,"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. Do not miss this opportunity. ."
ham,Team discussion. Here are the notes for this week and the next steps. Let me know if anything changes.
spam,Exclusive bonus inside. Click the link to claim your reward before it expires. Limited availability.
spam,"Free gift waiting. This offer expires soon, so take action now. Last chance. ."
spam,Congratulations you won. Click the link to claim your reward before it expires. Last chance.
ham,Weekly schedule. Let us meet after class to discuss the assignment. Looking forward to your response.
ham,Order confirmation. We need to finalize the timeline before Friday. Let me know if anything changes.
ham,Lunch plan. I completed the task and shared the latest version for review. I appreciate your time.
ham,Family plan. Please confirm your availability for the appointment. Thanks for your help.
ham,Family plan. Here are the notes for this week and the next steps. Looking forward to your response.
spam,"Action required immediately. Your payment failed, update your information right away. Offer ends very soon. ."
spam,Urgent account alert. This is a limited time deal and you should act fast. Do not miss this opportunity.
spam,"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. No reply is needed, act now. ."
ham,Lunch plan. Dinner is planned for Saturday evening at home. Looking forward to your response.
ham,Team discussion. We need to finalize the timeline before Friday. Thanks for your help.
ham,Appointment follow-up. Can you check this and reply when convenient? Looking forward to your response.
ham,Class notes. Please review the file and send your feedback when you are free. Let me know if anything changes.
spam,Congratulations you won. Please confirm your details to receive your prize. Offer ends very soon.
ham,Family plan. Dinner is planned for Saturday evening at home. I appreciate your time.
ham,Appointment follow-up. Please review the file and send your feedback when you are free. Please reply when convenient.
ham,Homework question. Dinner is planned for Saturday evening at home. Please reply when convenient.
ham,Class notes. We need to finalize the timeline before Friday. I appreciate your time.
ham,Project update. I completed the task and shared the latest version for review. Thanks for your help.
ham,Class notes. Can you check this and reply when convenient? Looking forward to your response.
spam,"Limited time offer. This offer expires soon, so take action now. No reply is needed, act now. ."
spam,"Congratulations you won. Your payment failed, update your information right away. Last chance. ."
ham,Team discussion. Please confirm your availability for the appointment. Looking forward to your response.
ham,Class notes. I completed the task and shared the latest version for review. Let me know if anything changes.
ham,Class notes. The order has been confirmed and details are attached below. Thanks for your help.
