label,message
spam,Final notice payment needed. Your account may be suspended unless you respond now. Limited availability.
spam,"Urgent account alert. Do not miss this exclusive reward, claim it today. Offer ends very soon. ."
ham,Department Notice: Scholarship Award Committee: Congratulations on being selected for the Department Merit Scholarship. The award letter and terms are attached for your signature.
ham,Class notes. The order has been confirmed and details are attached below. Looking forward to your response.
spam,Action required immediately. This is a limited time deal and you should act fast. Last chance.
ham,Project update. The order has been confirmed and details are attached below. I appreciate your time.
ham,Meeting reminder. Can you check this and reply when convenient? Thanks for your help.
spam,"Final notice payment needed. Click the link to claim your reward before it expires. No reply is needed, act now. ."
spam,Exclusive bonus inside. Click the link to claim your reward before it expires. Limited availability.
ham,"Department Notice: System Alert: Scheduled server maintenance will occur this Saturday between 2 AM and 4 AM. Services will resume automatically, no password verification required."
ham,Scholarship Award Committee: Congratulations on being selected for the Department Merit Scholarship. The award letter and terms are attached for your signature.
ham,Team discussion. Dinner is planned for Saturday evening at home. Let me know if anything changes.
ham,Order confirmation. Please review the file and send your feedback when you are free. Thanks for your help.
ham,Team discussion. Please confirm your availability for the appointment. Looking forward to your response.
ham,Appointment follow-up. The order has been confirmed and details are attached below. I appreciate your time.
ham,Monthly Subscription Receipt: Your payment of $12.99 was successfully charged to your credit card. You can view or download the invoice from your billing account page. Thank you for your cooperation.
spam,"Urgent account alert. This is a limited time deal and you should act fast. No reply is needed, act now. ."
ham,Homework question. We need to finalize the timeline before Friday. Please reply when convenient.
ham,Department Notice: Club Selection Results: Congratulations! You have been selected as a core coordinator for the Robotics Student Chapter. Our first planning meeting is this Wednesday evening.
ham,Order confirmation. Let us meet after class to discuss the assignment. Looking forward to your response.
ham,Department Notice: Urgent Academic Reminder: Tomorrow is the final deadline for course registration add/drop. Please verify your selected elective courses with your faculty advisor immediately.
spam,"Action required immediately. This offer expires soon, so take action now. Do not miss this opportunity. ."
ham,Project update. Can you check this and reply when convenient? Thanks for your help.
ham,Meeting reminder. The meeting is scheduled for tomorrow afternoon in the office. Thanks for your help.
ham,Homework question. Dinner is planned for Saturday evening at home. Thanks for your help.
spam,Limited time offer. This is a limited time deal and you should act fast. Do not miss this opportunity.
ham,Homework question. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.
ham,Order confirmation. Dinner is planned for Saturday evening at home. Looking forward to your response.
spam,"Limited time offer. This offer expires soon, so take action now. Offer ends very soon. ."
spam,"Verify your account today. Do not miss this exclusive reward, claim it today. Offer ends very soon. ."
ham,Team discussion. We need to finalize the timeline before Friday. Let me know if anything changes.
ham,Order confirmation. We need to finalize the timeline before Friday. Please reply when convenient.
spam,"Free gift waiting. Your payment failed, update your information right away. Do not miss this opportunity. ."
spam,Claim your prize now. Your account may be suspended unless you respond now. Last chance.
spam,"Special deal for you. Your payment failed, update your information right away. Offer ends very soon. ."
ham,Lunch plan. Can you check this and reply when convenient? Please reply when convenient.
ham,Department Notice: Security Team Advisory: Phishing warning: please be cautious of suspicious emails asking for credentials. Legitimate staff will never ask for your verification code or bank details.
spam,Action required immediately. Your account may be suspended unless you respond now. Limited availability.
spam,Special deal for you. You have been selected for a special bonus offer. Limited availability.
ham,Weekly schedule. Please confirm your availability for the appointment. Thanks for your help.
ham,Project Selection Notification: Your team has been selected to present the final year capstone project at the college innovation expo. Please confirm your project poster dimensions. Thank you for your cooperation.
ham,Order confirmation. Can you check this and reply when convenient? Looking forward to your response.
spam,Verify your account today. Please confirm your details to receive your prize. Offer ends very soon.
ham,Lunch plan. Please confirm your availability for the appointment. I appreciate your time.
ham,Security Team Advisory: Phishing warning: please be cautious of suspicious emails asking for credentials. Legitimate staff will never ask for your verification code or bank details. Thank you for your cooperation.
ham,Team discussion. Dinner is planned for Saturday evening at home. Looking forward to your response.
ham,Office Hours Limited Notice: Professor office hours will be limited to 1 hour this Thursday due to the faculty senate meeting. Please book a slot in advance. Thank you for your cooperation.
spam,Exclusive bonus inside. Unlock premium access with this one time opportunity. Offer ends very soon.
spam,Final notice payment needed. We detected unusual activity and need verification immediately. Do not miss this opportunity.
spam,"Verify your account today. This offer expires soon, so take action now. Last chance. ."
spam,Final notice payment needed. You have been selected for a special bonus offer. Offer ends very soon.
ham,Workshop Registration: Confirmation of your seat in the Python & Data Science Bootcamp. Free admission for university students. Bring your laptop and student ID.
spam,Special deal for you. Your account may be suspended unless you respond now. Last chance.
spam,Free gift waiting. Your account may be suspended unless you respond now. Limited availability.
spam,Special deal for you. This is a limited time deal and you should act fast. Offer ends very soon.
spam,Limited time offer. You have been selected for a special bonus offer. Limited availability.
spam,"Congratulations you won. Unlock premium access with this one time opportunity. No reply is needed, act now. ."
spam,Claim your prize now. Click the link to claim your reward before it expires. Last chance.
spam,"Limited time offer. This offer expires soon, so take action now. Last chance. ."
spam,Final notice payment needed. This is a limited time deal and you should act fast. Offer ends very soon.
ham,Department Notice: Order & Payment Receipt: We have received your payment for the textbooks order #58210. Your order has been confirmed and estimated delivery is Thursday. No further payment needed.
ham,Department Notice: Exam Schedule Urgent Update: The venue for the Operating Systems midterm exam has been moved from Hall A to Room 304. Please inform your classmates.
ham,Homework question. The meeting is scheduled for tomorrow afternoon in the office. Looking forward to your response.
spam,"Final notice payment needed. You have been selected for a special bonus offer. No reply is needed, act now. ."
spam,"Limited time offer. Do not miss this exclusive reward, claim it today. Offer ends very soon. ."
ham,Order confirmation. Please confirm your availability for the appointment. Please reply when convenient.
spam,Final notice payment needed. You have been selected for a special bonus offer. Do not miss this opportunity.
ham,Order & Payment Receipt: We have received your payment for the textbooks order #58210. Your order has been confirmed and estimated delivery is Thursday. No further payment needed.
ham,Project update. Can you check this and reply when convenient? Let me know if anything changes.
