label,message,threat_type,intent,source_type,difficulty,template_group,category,anchor_text,url
spam,Limited time offer. This is a limited time deal and you should act fast. Limited availability.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_033c6a9225,pdf_base,,
spam,"Urgent account alert. This offer expires soon, so take action now. Last chance. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_486083c612,pdf_base,,
spam,Free gift waiting. This is a limited time deal and you should act fast. Offer ends very soon.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_72c2e6d6c5,pdf_base,,
ham,Appointment follow-up. The order has been confirmed and details are attached below. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_71ba8dc99a,pdf_base,,
spam,"Special deal for you. This offer expires soon, so take action now. Limited availability. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_f2c9f0a9dc,pdf_base,,
spam,"Claim your prize now. This offer expires soon, so take action now. Offer ends very soon. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_a2694f9a4a,pdf_base,,
ham,Appointment follow-up. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_79130e3dd7,pdf_base,,
spam,Claim your prize now. Your account may be suspended unless you respond now. Do not miss this opportunity.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_92d228faa7,pdf_base,,
spam,"Congratulations you won. This is a limited time deal and you should act fast. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_369179dbb6,pdf_base,,
ham,Weekly schedule. Dinner is planned for Saturday evening at home. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_39e4b8be24,pdf_base,,
ham,Lunch plan. Please review the file and send your feedback when you are free. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_b8682e04fe,pdf_base,,
ham,Family plan. The meeting is scheduled for tomorrow afternoon in the office. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_4215f80fdb,pdf_base,,
ham,Family plan. Please confirm your availability for the appointment. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_e1344fc951,pdf_base,,
spam,"Free gift waiting. Your payment failed, update your information right away. Last chance. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_f658a17c3b,pdf_base,,
spam,"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_2e4df99311,pdf_base,,
ham,Meeting reminder. Let us meet after class to discuss the assignment. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_e1ab785dd3,pdf_base,,
ham,Homework question. Please review the file and send your feedback when you are free. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_ce6bc381b3,pdf_base,,
spam,"Verify your account today. Your payment failed, update your information right away. Offer ends very soon. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_47813bce44,pdf_base,,
spam,Free gift waiting. You have been selected for a special bonus offer. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_50244dc35b,pdf_base,,
spam,"Action required immediately. Do not miss this exclusive reward, claim it today. Limited availability. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_b9e06dbbd3,pdf_base,,
spam,Final notice payment needed. This is a limited time deal and you should act fast. Limited availability.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_75d77e6129,pdf_base,,
ham,Team discussion. The meeting is scheduled for tomorrow afternoon in the office. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_51ed76763e,pdf_base,,
spam,Congratulations you won. We detected unusual activity and need verification immediately. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_e5906419e9,pdf_base,,
ham,Weekly schedule. The order has been confirmed and details are attached below. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_40d7ee88d9,pdf_base,,
ham,Team discussion. The order has been confirmed and details are attached below. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_e0f134ccd2,pdf_base,,
ham,Meeting reminder. I completed the task and shared the latest version for review. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_5e14875f57,pdf_base,,
ham,Family plan. Dinner is planned for Saturday evening at home. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_6b8cce8a1d,pdf_base,,
spam,"Verify your account today. Your payment failed, update your information right away. Last chance. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_47813bce44,pdf_base,,
ham,Family plan. Please confirm your availability for the appointment. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_e1344fc951,pdf_base,,
spam,Special deal for you. Please confirm your details to receive your prize. Offer ends very soon.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_699ca0801c,pdf_base,,
spam,"Exclusive bonus inside. We detected unusual activity and need verification immediately. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_71e0658e4f,pdf_base,,
ham,Weekly schedule. We need to finalize the timeline before Friday. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_0221a2d016,pdf_base,,
spam,Limited time offer. Your account may be suspended unless you respond now. Offer ends very soon.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_874d9279e6,pdf_base,,
ham,Family plan. Here are the notes for this week and the next steps. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_7ec827f283,pdf_base,,
ham,Lunch plan. Can you check this and reply when convenient? Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_cd13aac14b,pdf_base,,
spam,Exclusive bonus inside. Click the link to claim your reward before it expires. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_9742eace43,pdf_base,,
